"Genes","BxPC3_B1","PanC1_A1","BxPC3_B2","PanC1_D1","PanC1_B2","PanC1_C2","BxPC3_C2","BxPC3_A2","BxPC3_A1","PanC1_D2","PanC1_B1","PanC1_C1","PanC1_A2","BxPC3_D1","BxPC3_D2","BxPC3_C1"
"NIP7",16.2058334097358,15.3939485058068,16.5758673398473,15.5791136347265,15.1112006080711,15.3143763706912,13.152252061161,16.5830699266917,12.9822928721104,12.8610963133147,15.3860471888843,15.6917848989748,15.7780283701705,16.5497132677333,16.7489073286967,16.502508890506
"CNOT7",12.8140104368376,13.0623736247421,14.3306782190009,13.698932058737,12.7137927962532,12.717170160035,14.1259643407866,13.4065202346523,13.3348810286949,11.8618246102068,11.7534207573184,13.2508967701274,12.5099773100556,13.1071165772104,14.9134248948895,13.5105873887005
"CYB5R1",15.4206148340397,15.0777386583619,13.6280082793727,15.8573667643558,14.3164083328698,13.6296926795441,11.1375734908544,14.316426649537,15.559579867962,15.8440013953286,15.7182649644862,13.6938483939539,15.1973191242324,15.1936081050029,14.4212644036005,13.7293727421821
"DDX27",16.6191235838242,15.9931886675071,16.5951072341901,15.496456082317,15.8027974292399,15.4003813727663,16.6887927985071,17.0491759977012,15.6844369641486,16.0456326574783,15.5986363528696,15.4542162655729,15.8364902854853,16.9743049730721,16.7896232890748,17.0963103763238
"AHNAK2",17.2215050152534,18.0974910960519,14.5028905816074,18.4304605266405,18.361727351704,17.4568690857385,17.7331602938425,16.9703666027252,17.5391018165949,19.4993776349977,17.5024817689079,19.169881632882,17.8947033092431,12.8822424006601,15.5560012289478,15.7288150097261
"FDXR",15.399429127865,14.0064681920667,15.5180600294738,13.8175610531026,14.8061260592448,14.4276739370074,16.801445607548,15.2820554901096,15.3646619298395,13.8451842311894,13.2640337265853,14.1879727676149,13.1583299843124,15.9599808017786,16.0121738919897,16.8167091392054
"FEM1B",12.2869709004206,12.2574923387183,12.700009954283,11.8264834703645,12.0527229771737,11.6575591095334,13.1698199002869,12.2196718042165,12.2509629736763,12.8248833654237,12.2990193589568,9.26469232943258,11.5424275192357,12.278581925604,13.5081867224148,10.4771760132737
"MYH9",20.1138554172995,19.5232545838402,19.8731187740736,19.8475788822353,19.7386739826645,19.6258995004558,20.7326660117861,20.1431674880357,21.0816531733555,19.7969028124996,19.5085128851387,19.780836221059,19.6222374010091,19.744116975389,19.9769024510228,20.1786535987953
"SEC23IP",15.1012369157099,16.0337611146852,15.7031065839324,15.6734066158458,15.6675207675845,15.4221379479065,15.160299580019,15.6248502328046,16.4766545271536,15.6711826788804,15.0888522839587,16.6947239075106,16.140067388724,15.7039559208412,15.6936659358537,14.5715115913687
"HOOK3",13.3431372716872,13.0965022932323,12.9504166594914,12.7956943409564,13.0637241009153,12.7507470014797,13.0046512381686,12.9505286618517,13.5633281899866,13.6008983395258,13.4302530596354,12.915166636834,12.7209191389941,12.8089861842857,12.1020284537406,13.1232473166623
"NPLOC4",15.4730442787627,16.5181815017288,16.0779932318906,16.4572188803169,16.6621216453585,16.5900929765114,16.2245654680606,15.4755225494067,16.9488777190612,16.2907372105545,16.4584557574732,16.4036912034308,16.7254963381886,16.1327472137214,16.2586323832797,16.6243310711676
"SH3KBP1",14.5108919705948,15.7042911033896,15.1866689328654,14.725723606186,14.4276478068468,15.6645816620329,14.8543808884226,14.5304686869178,14.1052110298899,16.1261663850185,15.790436639858,14.9837203079124,15.7637417670169,12.3157901345912,13.215699129458,14.2170611858086
"GPN1",12.8143950290074,13.3939633798697,13.1970059350646,13.0613529811346,13.1644063967682,12.0335000814905,13.1419380675392,13.2568709230899,13.6113494346171,12.0815036202895,12.8444355361312,13.2364484660419,13.3843303868922,13.6203658311356,13.3015515710603,13.1707546344274
"KNSTRN",10.8489432845914,13.2980044942406,11.4389800885409,13.5373219833002,14.5899763686925,10.2878061724741,13.0114880868512,12.9857799708796,12.9307841498892,12.8660462962087,14.2326749662744,13.5956006955276,14.6151989361774,13.2616445616207,14.0705800265022,12.941643424646
"MCM3AP",12.1208366916501,12.4276937676629,12.2654438843425,12.7097949668815,12.4691767018628,12.7783337509297,12.4087907794348,12.4409345590129,12.4145402924475,12.3847082317238,12.9597185361211,12.7652148776327,12.4959129334163,11.4789531786054,12.3946405112743,13.129367888121
"CFL1",22.0811565218067,22.1708977430163,21.6106190749626,21.5970134085457,22.333040074101,21.6506116062587,20.6421291660606,21.7295745167699,20.3634074685769,21.3077124863684,20.7720850956777,20.8397816156603,21.6063109365311,21.6564773909702,21.0526763326069,20.5829055773862
"DHX33",13.8456573936552,12.70347591357,14.353616649671,13.8184979282728,13.3515666039797,14.2007099024971,14.266832262978,13.5123581687813,14.5298111481961,13.8369917964658,12.7233405373451,12.7527063704346,14.1062114934455,15.0719508193649,14.4201163601092,14.8364697141694
"VARS1",16.4868323687959,17.6280333635673,16.1053496769475,17.3580814482998,17.8352757516583,16.9901581762301,16.2091789193753,15.9983571680461,16.0129001509524,17.3469541191361,17.7253078692025,17.9826612741603,17.9385066573283,16.8723155121075,16.9851896453811,16.6548486873368
"VPS13C",14.175818597122,14.4564681601585,12.8662923652532,14.0239266065965,13.8617759030593,14.8676405605295,14.6225364931902,13.9941332548141,11.7038684828717,14.2799248216023,14.4765885768447,14.0216840767462,14.173645605149,14.0545230735712,14.2127266882479,13.5430573266777
"NSMCE2",12.4407991716517,12.6713073563186,12.4921211684564,12.6010709618466,12.9464663254961,12.6330579045068,12.4356028928941,12.5158797871323,12.5285956170854,12.4835136759951,12.6251126285283,12.7446159632222,12.6210507822898,11.8788442114742,12.925853530009,12.5124144590574
"STK24",15.5449176966877,14.7053223265234,16.4941644455679,13.6213311567616,14.4226956420256,15.1712528873462,15.9740928053143,15.4077949873624,16.7230298886759,13.3726280011954,14.3204051499037,14.940488119776,14.3090312917599,15.5296141898061,15.8784755649209,15.7009652224452
"TWF2",16.387465034532,14.401912119015,15.3039727093931,15.9579861908305,15.3283081405258,15.5923959573014,16.1541411732169,16.866038394437,14.7521188856107,16.011564242791,15.4877834409653,15.2116582963595,15.1887256327209,15.842396396574,16.4123661473484,16.6852797041525
